benchmark,metric,friedman_stat,p_value
Ackley,best,27.80000000000001,9.189813578979522e-07
Griewank,best,22.46666666666664,1.3225902595874499e-05
Knapsack,best,54.2689075630252,1.6430714644319926e-12
Koza,best,88.85333333333335,2.3070376785989255e-18
Parity,best,52.67713787085522,9.95590232886449e-11
Rastrigin,best,51.666666666666686,6.035675523560165e-12
SantaFe,best,89.8760469011726,1.3990611367600503e-18
Sphere,best,14.066666666666663,0.0008819869188235076
Ackley,len_final,22.934579439252325,1.0466930786828807e-05
Griewank,len_final,25.44954128440368,2.9764755992028444e-06
Knapsack,len_final,45.06666666666666,1.6364309111254172e-10
Koza,len_final,66.1468531468532,1.4750581852159784e-13
Parity,len_final,43.6884057971015,7.446620617401197e-09
Rastrigin,len_final,25.839285714285722,2.4494602663089596e-06
SantaFe,len_final,96.33752244165177,5.919187106408505e-20
Sphere,len_final,28.228070175438592,7.419120827052589e-07
Ackley,cpu_s,60.0,9.357622968840163e-14
Griewank,cpu_s,60.0,9.357622968840163e-14
Knapsack,cpu_s,60.0,9.357622968840163e-14
Koza,cpu_s,116.16000000000008,3.528718202346486e-24
Parity,cpu_s,111.38666666666666,3.683194445406438e-23
Rastrigin,cpu_s,60.0,9.357622968840163e-14
SantaFe,cpu_s,120.0,5.341471565244885e-25
Sphere,cpu_s,60.0,9.357622968840163e-14
Ackley,delta_len,8.866666666666637,0.011874840825338158
Griewank,delta_len,13.011764705882317,0.0014946213931504488
Knapsack,delta_len,45.06666666666666,1.6364309111254172e-10
Koza,delta_len,70.09140767824508,2.1711894415667503e-14
Parity,delta_len,76.1066666666667,1.162265705916035e-15
Rastrigin,delta_len,6.615384615384595,0.0366005391542713
SantaFe,delta_len,96.33752244165177,5.919187106408505e-20
Sphere,delta_len,7.517241379310329,0.02331587803767277
